Moyenne_Generale,Note_Maths,Note_Physique,Note_Francais,Filiere_Bac,Recommendation
14.49,13.77,13.74,10.17,SM-A,ENSA / ENSAM
12.59,14.9,14.57,15.51,SM-A,ENSA / ENSAM
14.94,13.36,12.83,16.42,PC,FST
17.57,14.33,14.88,14.34,SM-B,ENSA / ENSAM
12.3,16.4,17.19,14.44,SM-B,ENSA / ENSAM
12.3,14.28,19.36,13.58,SM-B,ENSA / ENSAM
17.74,15.71,16.93,13.75,SM-A,Medecine / Pharmacie
15.3,13.2,18.48,12.17,Eco-Gestion,ENSA / ENSAM
11.59,15.36,15.23,16.21,SM-A,ENSA / ENSAM
14.63,7.48,5.1,11.24,Eco-Gestion,ENCG
11.61,7.1,9.73,14.51,SVT,FST
11.6,14.22,12.15,13.21,SM-A,FST
13.73,17.73,11.61,15.46,SM-A,FST
10.0,17.63,16.91,16.66,SM-A,ENSA / ENSAM
10.0,20.0,14.29,13.33,SM-B,ENSA / ENSAM
11.31,15.17,15.0,17.6,SM-B,ENSA / ENSAM
10.0,7.96,8.42,17.13,Eco-Gestion,Faculté (Licence Fondamentale)
13.94,15.06,9.91,15.56,Eco-Gestion,ENCG
10.28,16.68,18.0,13.22,SM-A,ENSA / ENSAM
10.0,15.08,18.93,14.79,Eco-Gestion,ENSA / ENSAM
17.4,16.1,16.44,11.9,SM-B,Medecine / Pharmacie
12.32,19.16,11.54,12.18,Eco-Gestion,ENCG
13.2,9.49,14.29,15.6,SVT,FST
10.0,15.01,16.15,8.47,SM-B,ENSA / ENSAM
11.37,12.55,12.36,18.12,SVT,FST
13.33,9.69,7.16,10.31,Eco-Gestion,ENCG
10.0,11.33,18.67,17.65,PC,Faculté (Licence Fondamentale)
14.13,16.64,17.44,13.4,SM-A,CPGE (Prépas)
11.2,15.81,14.33,12.07,SM-B,ENSA / ENSAM
12.12,7.36,11.79,12.88,SVT,FST
11.19,15.49,16.19,12.51,PC,ENSA / ENSAM
18.56,12.26,16.14,15.21,PC,FST
12.96,13.71,15.17,13.7,SM-B,ENSA / ENSAM
10.0,14.56,13.82,13.69,SM-B,ENSA / ENSAM
15.47,11.73,16.7,10.31,PC,FST
10.0,18.13,19.68,10.42,SM-A,ENSA / ENSAM
13.63,17.07,13.55,16.12,SM-A,ENSA / ENSAM
10.0,8.2,12.44,10.38,SVT,Faculté (Licence Fondamentale)
10.0,15.59,12.94,15.47,SM-A,Faculté (Licence Fondamentale)
13.59,12.33,17.1,11.97,PC,FST
15.22,13.77,16.3,10.71,PC,ENSA / ENSAM
13.51,12.63,15.59,10.67,Eco-Gestion,ENCG
12.65,16.34,19.0,10.55,PC,ENSA / ENSAM
12.1,13.09,15.6,11.36,SM-A,ENSA / ENSAM
10.0,17.61,11.1,10.59,SVT,Faculté (Licence Fondamentale)
10.84,8.56,14.27,11.29,Eco-Gestion,Faculté (Licence Fondamentale)
11.62,16.09,16.91,11.55,SM-A,ENSA / ENSAM
16.17,11.86,10.95,15.05,SVT,FST
14.03,17.18,14.56,13.19,SM-A,CPGE (Prépas)
10.0,10.88,6.57,13.77,Eco-Gestion,Faculté (Licence Fondamentale)
13.97,17.78,14.23,10.68,PC,ENSA / ENSAM
11.84,9.39,13.17,14.35,Eco-Gestion,FST
10.97,13.68,14.16,13.28,PC,ENSA / ENSAM
14.84,7.31,11.43,15.61,Eco-Gestion,ENCG
16.09,13.5,11.93,17.74,SM-B,FST
15.79,14.78,17.27,12.54,SM-A,ENSA / ENSAM
10.48,15.68,15.88,10.35,SM-A,ENSA / ENSAM
12.07,16.26,14.24,9.04,SM-B,ENSA / ENSAM
13.99,14.67,15.47,12.53,PC,ENSA / ENSAM
15.93,13.58,18.18,15.63,SM-A,ENSA / ENSAM
11.56,17.93,14.39,7.81,SM-B,ENSA / ENSAM
12.44,19.91,14.88,10.75,SM-A,ENSA / ENSAM
10.0,13.25,14.5,12.93,SVT,ENSA / ENSAM
10.0,16.56,18.17,9.77,PC,ENSA / ENSAM
15.44,9.98,13.87,4.86,SVT,FST
17.07,13.7,13.14,11.57,PC,ENSA / ENSAM
12.78,15.4,14.28,11.34,SM-B,ENSA / ENSAM
16.01,11.81,20.0,18.6,PC,FST
14.08,11.68,19.16,11.8,PC,FST
11.06,16.26,14.87,11.02,SM-B,ENSA / ENSAM
14.08,15.97,16.25,11.57,PC,CPGE (Prépas)
17.61,13.39,13.21,8.08,SM-A,ENSA / ENSAM
12.89,12.04,7.41,12.2,Eco-Gestion,ENCG
17.69,18.74,17.4,12.9,SM-B,Medecine / Pharmacie
10.0,11.74,16.64,14.56,Eco-Gestion,Faculté (Licence Fondamentale)
15.47,15.34,12.15,14.18,SM-B,CPGE (Prépas)
13.26,17.66,13.74,13.87,SM-B,ENSA / ENSAM
12.1,10.91,10.45,5.54,SVT,FST
13.28,11.33,13.91,11.11,SVT,FST
10.0,14.11,14.49,14.08,PC,ENSA / ENSAM
12.34,11.35,8.18,17.0,Eco-Gestion,ENCG
14.07,17.86,13.79,14.49,SM-B,CPGE (Prépas)
17.43,15.07,17.28,7.92,PC,Medecine / Pharmacie
11.45,18.01,13.86,11.93,SM-A,ENSA / ENSAM
10.57,20.0,15.6,11.84,SM-B,ENSA / ENSAM
11.49,11.59,17.78,8.96,SM-A,FST
15.75,11.99,15.34,17.25,PC,FST
13.99,14.32,10.53,13.92,SVT,FST
11.41,12.8,16.28,13.22,PC,FST
14.54,17.94,16.93,14.48,SM-A,CPGE (Prépas)
13.29,15.28,16.48,12.72,SM-B,ENSA / ENSAM
15.91,8.75,9.79,13.25,Eco-Gestion,ENCG
10.89,15.82,15.63,9.37,PC,ENSA / ENSAM
12.02,16.11,15.23,13.56,SM-B,ENSA / ENSAM
11.82,14.76,14.06,11.22,SVT,ENSA / ENSAM
10.0,10.15,7.88,15.1,SVT,Faculté (Licence Fondamentale)
13.89,16.35,10.05,12.28,SVT,FST
13.78,18.93,16.01,14.31,SM-B,ENSA / ENSAM
13.02,11.62,17.36,10.21,PC,FST
12.3,13.73,14.31,11.24,SM-B,ENSA / ENSAM
10.0,15.56,12.12,15.88,SM-B,Faculté (Licence Fondamentale)
11.74,15.38,5.16,15.94,Eco-Gestion,FST
11.97,9.57,13.57,12.79,Eco-Gestion,FST
10.59,14.06,15.63,16.64,PC,ENSA / ENSAM
12.52,8.28,12.82,16.3,Eco-Gestion,ENCG
14.21,14.15,17.97,11.41,SVT,ENSA / ENSAM
18.66,14.87,10.68,16.7,Eco-Gestion,ENCG
13.52,11.98,9.84,16.92,SVT,FST
13.77,13.02,13.17,11.45,PC,ENSA / ENSAM
12.78,17.24,17.78,13.33,SM-B,ENSA / ENSAM
10.0,18.64,12.28,11.67,SM-B,Faculté (Licence Fondamentale)
12.92,11.13,10.66,13.25,Eco-Gestion,ENCG
13.18,14.07,9.67,13.42,SVT,FST
20.0,15.91,13.15,12.66,SM-A,CPGE (Prépas)
12.42,15.71,14.67,13.1,SM-A,ENSA / ENSAM
13.9,16.15,14.14,16.82,SM-A,ENSA / ENSAM
12.9,13.66,13.56,20.0,SM-B,ENSA / ENSAM
10.0,13.92,12.29,15.2,SM-B,Faculté (Licence Fondamentale)
16.43,5.77,10.29,19.44,SVT,FST
15.26,7.37,5.05,8.5,Eco-Gestion,ENCG
15.37,17.8,17.25,11.46,SM-A,CPGE (Prépas)
10.27,14.05,15.17,18.36,SVT,ENSA / ENSAM
17.21,11.26,4.1,10.54,SVT,FST
10.0,10.72,10.22,12.44,Eco-Gestion,Faculté (Licence Fondamentale)
14.76,15.36,14.82,12.48,SVT,CPGE (Prépas)
19.57,15.3,12.07,13.19,Eco-Gestion,CPGE (Prépas)
10.03,15.81,16.14,19.17,PC,ENSA / ENSAM
11.3,7.68,9.45,12.62,Eco-Gestion,FST
13.3,16.88,17.54,12.93,SM-A,ENSA / ENSAM
11.49,13.16,16.69,15.26,SM-A,ENSA / ENSAM
10.0,6.17,10.99,8.23,Eco-Gestion,Faculté (Licence Fondamentale)
13.21,12.67,14.19,15.43,PC,FST
10.0,14.23,13.43,15.64,PC,ENSA / ENSAM
14.42,13.13,15.66,10.56,SM-A,ENSA / ENSAM
10.24,13.27,17.01,14.56,PC,ENSA / ENSAM
17.65,16.01,10.75,13.92,SVT,CPGE (Prépas)
10.65,15.12,15.36,14.32,SM-B,ENSA / ENSAM
12.03,11.71,5.59,13.99,SVT,FST
15.44,16.73,13.64,9.15,SM-A,CPGE (Prépas)
10.0,16.95,16.98,12.31,PC,ENSA / ENSAM
13.68,8.59,8.53,16.91,Eco-Gestion,ENCG
16.92,16.28,13.9,14.53,SM-B,CPGE (Prépas)
10.0,9.56,15.5,17.06,Eco-Gestion,Faculté (Licence Fondamentale)
13.55,15.07,13.74,5.15,SM-A,ENSA / ENSAM
13.78,11.04,13.32,13.41,PC,FST
15.35,11.02,6.96,12.16,Eco-Gestion,ENCG
10.0,13.52,12.58,7.3,Eco-Gestion,Faculté (Licence Fondamentale)
10.0,15.74,12.23,15.71,SM-B,Faculté (Licence Fondamentale)
14.57,17.57,13.2,10.7,SM-B,CPGE (Prépas)
13.89,13.08,11.49,14.01,PC,FST
13.75,15.45,16.94,9.7,SM-B,ENSA / ENSAM
14.04,10.14,6.48,9.99,Eco-Gestion,ENCG
10.96,8.45,13.99,10.91,Eco-Gestion,Faculté (Licence Fondamentale)
13.7,16.25,14.24,9.19,SM-A,ENSA / ENSAM
13.88,11.5,12.8,9.38,Eco-Gestion,ENCG
10.86,15.62,14.3,11.55,PC,ENSA / ENSAM
18.6,13.59,9.01,13.11,SVT,FST
14.42,15.37,15.26,5.86,SM-A,CPGE (Prépas)
10.0,12.34,16.23,16.11,SM-A,Faculté (Licence Fondamentale)
14.97,12.18,15.51,13.88,PC,FST
10.08,15.39,11.94,10.34,PC,Faculté (Licence Fondamentale)
15.36,15.33,16.41,20.0,SM-B,CPGE (Prépas)
16.48,15.54,12.19,14.21,SM-A,CPGE (Prépas)
10.54,18.64,15.22,10.28,SM-B,ENSA / ENSAM
15.89,14.87,12.99,9.92,Eco-Gestion,ENCG
14.24,16.76,16.99,16.55,SM-A,CPGE (Prépas)
15.47,15.87,14.28,16.68,SM-A,CPGE (Prépas)
18.69,8.37,12.32,8.89,SVT,FST
12.26,18.13,14.48,16.81,SM-A,ENSA / ENSAM
10.74,13.47,7.33,17.27,Eco-Gestion,Faculté (Licence Fondamentale)
10.33,19.1,16.76,10.72,SM-B,ENSA / ENSAM
10.55,15.39,15.29,10.89,SM-B,ENSA / ENSAM
12.77,17.08,11.43,4.89,SVT,FST
14.02,13.02,9.96,12.78,Eco-Gestion,ENCG
13.83,15.26,16.61,16.36,SM-B,ENSA / ENSAM
15.48,14.57,15.32,12.88,PC,ENSA / ENSAM
13.04,12.06,8.59,14.74,Eco-Gestion,ENCG
17.36,13.38,15.62,16.77,Eco-Gestion,ENSA / ENSAM
12.21,9.94,13.46,10.15,SVT,FST
20.0,17.39,13.97,9.93,SM-B,CPGE (Prépas)
14.88,12.84,2.98,7.75,Eco-Gestion,ENCG
10.43,15.65,15.16,11.89,SM-B,ENSA / ENSAM
10.0,10.84,14.36,14.17,PC,Faculté (Licence Fondamentale)
14.45,13.75,10.95,16.47,SVT,FST
12.33,14.79,14.51,12.16,PC,ENSA / ENSAM
15.14,7.79,10.68,16.34,SVT,FST
14.42,14.06,15.21,12.09,Eco-Gestion,ENSA / ENSAM
12.78,16.04,10.42,17.41,SVT,FST
10.46,15.96,16.41,17.43,SM-A,ENSA / ENSAM
10.0,15.61,15.44,16.87,SM-B,ENSA / ENSAM
11.66,15.73,12.36,19.43,SM-B,FST
15.57,15.06,15.32,16.47,SM-A,CPGE (Prépas)
13.64,12.78,13.98,13.76,PC,FST
10.0,12.41,14.42,13.74,SM-A,Faculté (Licence Fondamentale)
13.52,11.19,6.37,17.78,Eco-Gestion,ENCG
14.16,12.31,15.29,12.22,Eco-Gestion,ENCG
10.35,14.24,15.54,12.35,SM-B,ENSA / ENSAM
13.46,8.47,15.41,11.13,Eco-Gestion,ENCG
13.17,12.32,17.66,11.49,SM-B,FST
10.0,14.78,11.47,18.22,SM-A,Faculté (Licence Fondamentale)
14.07,13.42,15.12,15.74,SM-A,ENSA / ENSAM
14.68,16.84,14.88,7.9,SM-A,CPGE (Prépas)
16.25,14.38,15.38,10.64,SM-B,ENSA / ENSAM
16.16,16.41,16.36,15.89,SM-A,Medecine / Pharmacie
10.0,13.55,19.39,15.3,SM-A,ENSA / ENSAM
10.19,14.0,18.18,20.0,PC,ENSA / ENSAM
14.55,13.12,14.55,5.86,SM-A,ENSA / ENSAM
14.54,12.58,12.1,12.88,Eco-Gestion,ENCG
14.55,14.69,10.9,14.12,SM-B,FST
20.0,16.91,14.82,14.32,PC,CPGE (Prépas)
14.71,7.3,12.37,11.82,SVT,FST
16.41,14.48,13.48,11.82,SM-B,ENSA / ENSAM
15.86,13.15,7.06,11.81,Eco-Gestion,ENCG
14.95,15.92,12.8,18.39,SM-B,CPGE (Prépas)
